Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;69,00;69,80;67,65;68,00;"02/01/2024 16:25";CET;251935;17274678,70;68,00;02/01/2024
"GRONG SPAREBANK";NO0010636491;GRONG;"Euronext Growth Oslo";NOK;149,00;152,00;144,00;151,00;"02/01/2024 14:05";CET;2370;351314,00;151,00;02/01/2024
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;505,00;505,00;505,00;505,00;"27/12/2023 10:37";CET;2;1010,00;505,00;02/01/2024
"HAFNIA LIMITED";BMG4233B1090;HAFNI;"Oslo Børs";NOK;71,30;73,15;71,10;71,85;"02/01/2024 16:27";CET;1204270;86804630,40;71,85;02/01/2024
"HAV GROUP";NO0010931918;HAV;"Euronext Growth Oslo";NOK;9,00;10,25;9,00;9,60;"02/01/2024 16:25";CET;46258;454960,98;9,60;02/01/2024
"HAVILA KYSTRUTEN";NO0011045429;HKY;"Euronext Growth Oslo";NOK;0,724;0,74;0,72;0,736;"02/01/2024 15:53";CET;1320627;962288,10;0,736;02/01/2024
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;5,50;5,68;5,40;5,66;"02/01/2024 16:02";CET;109384;605573,51;5,66;02/01/2024
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;29,48;29,48;28,60;29,36;"02/01/2024 16:25";CET;189708;5518776,68;29,36;02/01/2024
"HEXAGON PURUS";NO0010904923;HPUR;"Oslo Børs";NOK;11,36;11,78;11,34;11,54;"02/01/2024 16:25";CET;899826;10416223,54;11,54;02/01/2024
"HIMALAYA SHIPPING";BMG4660A1036;HSHP;"Euronext Expand Oslo";NOK;70,40;71,40;69,40;69,80;"02/01/2024 16:25";CET;73476;5161310,80;69,80;02/01/2024
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;2,54;2,60;2,54;2,58;"02/01/2024 16:26";CET;5818;14948,04;2,58;02/01/2024
"HORISONT ENERGI";NO0010917339;HRGI;"Euronext Growth Oslo";NOK;5,04;5,32;5,04;5,26;"02/01/2024 14:32";CET;16906;88599,34;5,26;02/01/2024
"HUDDLESTOCK FINTEC";NO0010859648;HUDL;"Euronext Growth Oslo";NOK;1,12;1,165;1,09;1,13;"02/01/2024 16:25";CET;292513;325597,27;1,13;02/01/2024
HUDDLY;NO0010776990;HDLY;"Euronext Growth Oslo";NOK;0,55;0,56;0,532;0,554;"02/01/2024 16:26";CET;475010;260603,43;0,554;02/01/2024
"HUNTER GROUP";NO0012953720;HUNT;"Euronext Expand Oslo";NOK;2,15;2,1795;2,05;2,09;"02/01/2024 16:25";CET;249140;527088,99;2,09;02/01/2024
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;16,30;16,46;15,92;16,34;"02/01/2024 16:26";CET;30177;487855,04;16,34;02/01/2024
HYNION;NO0010920945;HYN;"Euronext Growth Oslo";NOK;0,31;0,3895;0,31;0,3765;"02/01/2024 16:25";CET;85773;30950,00;0,3765;02/01/2024
HYON;NO0011204158;HYON;"Euronext Growth Oslo";NOK;0,27;0,27;0,23;0,265;"02/01/2024 16:25";CET;165027;39614,76;0,265;02/01/2024
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;92,50;95,00;92,50;94,10;"02/01/2024 16:26";CET;308393;28953676,55;94,10;02/01/2024
