Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"25 Feb 2024"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;154,70;157,40;154,50;155,40;"23/02/2024 16:25";CET;94242;14697225,40;155,40;23/02/2024
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1,77;1,82;1,692;1,692;"23/02/2024 16:18";CET;261449;448766,766;1,692;23/02/2024
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;131,00;132,00;131,00;132,00;"22/02/2024 13:34";CET;100;13159,00;132,00;23/02/2024
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6,58;6,58;6,45;6,46;"23/02/2024 16:25";CET;80899;525166,36;6,46;23/02/2024
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;13,00;13,00;12,30;12,30;"23/02/2024 16:27";CET;72824;907002,35;12,30;23/02/2024
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;112,90;113,30;112,50;112,80;"23/02/2024 16:29";CET;268560;30347472,00;112,80;23/02/2024
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;2,06;2,20;2,02;2,18;"23/02/2024 14:00";CET;15424;32366,72;2,18;23/02/2024
AEGA;NO0012958539;AEGA;"Euronext Expand Oslo";NOK;2,10;2,29;2,10;2,24;"23/02/2024 16:25";CET;69726;153845,302;2,24;23/02/2024
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;120,60;122,40;120,60;121,60;"23/02/2024 16:25";CET;33841;4121043,60;121,60;23/02/2024
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;29,80;30,00;29,30;29,90;"23/02/2024 16:25";CET;157314;4675375,10;29,90;23/02/2024
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;2,94;3,00;2,915;2,965;"23/02/2024 15:37";CET;13891;40528,42;2,965;23/02/2024
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;11,68;11,68;11,16;11,20;"23/02/2024 16:25";CET;332210;3767157,50;11,20;23/02/2024
AKER;NO0010234552;AKER;"Oslo Børs";NOK;590,00;591,00;578,00;578,00;"23/02/2024 16:25";CET;46471;27074551,00;578,00;23/02/2024
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;54,00;54,00;52,10;53,00;"23/02/2024 16:25";CET;23874;1271587,50;53,00;23/02/2024
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;260,50;261,40;254,90;257,40;"23/02/2024 16:29";CET;708832;182949181,30;257,40;23/02/2024
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;8,61;8,65;7,93;7,995;"23/02/2024 16:26";CET;2280802;18557944,91;7,995;23/02/2024
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;3,89;3,89;3,57;3,57;"23/02/2024 16:26";CET;3297168;12045476,406;3,57;23/02/2024
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;35,24;35,38;34,82;34,98;"23/02/2024 16:25";CET;1143861;40065874,88;34,98;23/02/2024
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;3,56;3,56;2,90;3,52;"23/02/2024 15:41";CET;10431;30316,34;3,52;23/02/2024
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;60,00;61,60;59,20;61,60;"23/02/2024 16:25";CET;8921;536006,60;61,60;23/02/2024
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;6,00;6,10;5,50;5,82;"23/02/2024 16:25";CET;222220;1287921,12;5,82;23/02/2024
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;27,00;27,10;26,80;27,10;"23/02/2024 16:25";CET;154110;4160570,40;27,10;23/02/2024
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;30,60;31,00;30,50;30,70;"23/02/2024 16:25";CET;9272;285123,80;30,70;23/02/2024
"AQUA BIO TECHNO";NO0010307135;ABTEC;"Euronext Expand Oslo";NOK;4,45;4,50;4,40;4,40;"23/02/2024 16:18";CET;94497;418864,37;4,40;23/02/2024
"AQUILA HOLDINGS";NO0010778095;AQUIL;"Euronext Expand Oslo";NOK;0,934;0,998;0,92;0,928;"23/02/2024 16:28";CET;105042;98458,228;0,928;23/02/2024
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;0,924;0,924;0,91;0,914;"23/02/2024 16:25";CET;1990791;1826015,084;0,914;23/02/2024
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;9,62;9,62;9,62;9,62;"23/02/2024 09:00";CET;2000;19240,00;9,62;23/02/2024
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;56,00;56,00;55,00;55,00;"23/02/2024 16:25";CET;7499;414345,00;55,00;23/02/2024
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;30,00;30,00;28,80;28,90;"23/02/2024 16:25";CET;7711;223049,90;28,90;23/02/2024
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;148,60;151,60;144,60;151,60;"23/02/2024 16:25";CET;22129;3286049,00;151,60;23/02/2024
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;3,60;3,60;3,25;3,29;"23/02/2024 16:27";CET;2153657;7308432,95;3,29;23/02/2024
"ARRIBATEC GROUP";NO0012861667;ARR;"Oslo Børs";NOK;4,165;4,1995;4,1015;4,1995;"23/02/2024 15:51";CET;25635;106358,923;4,1995;23/02/2024
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;8,00;8,12;7,78;8,12;"23/02/2024 16:25";CET;6520;51774,68;8,12;23/02/2024
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;1,00;1,00;0,98;0,98;"23/02/2024 16:25";CET;13837;13820,40;0,98;23/02/2024
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;127,20;127,40;126,00;126,00;"23/02/2024 16:25";CET;62975;7965466,40;126,00;23/02/2024
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;1,50;1,50;1,43;1,44;"23/02/2024 16:25";CET;423648;612847,116;1,44;23/02/2024
"AURORA EIENDOM";NO0011032310;AURA;"Euronext Growth Oslo";NOK;84,50;84,50;84,50;84,50;"22/02/2024 15:56";CET;140;11830,00;84,50;23/02/2024
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;220,00;220,00;218,00;220,00;"23/02/2024 14:02";CET;244;53552,00;220,00;23/02/2024
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;74,60;74,80;73,60;74,40;"23/02/2024 16:25";CET;162136;12004329,60;74,40;23/02/2024
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;17,55;17,715;17,35;17,58;"23/02/2024 16:25";CET;4190997;48418994,05;17,58;23/02/2024
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;120,00;121,40;117,60;118,40;"23/02/2024 16:28";CET;151820;18035568,60;118,40;23/02/2024
"AWILCO DRILLING";NO0012785098;AWDR;"Euronext Growth Oslo";NOK;15,00;15,00;14,698;14,698;"23/02/2024 16:09";CET;552;8197,328;14,698;23/02/2024
"AWILCO LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;6,75;7,07;6,73;7,01;"23/02/2024 16:25";CET;562087;3872523,84;7,01;23/02/2024
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;4,75;4,795;4,72;4,755;"23/02/2024 16:25";CET;264438;1253988,51;4,755;23/02/2024
"AYFIE GROUP";NO0012861683;AYFIE;"Euronext Growth Oslo";NOK;5,001;5,20;4,8505;4,8505;"21/02/2024 16:15";CET;23984;120321,93;4,8505;23/02/2024
"B2 Impact";NO0010633951;B2I;"Oslo Børs";NOK;8,00;8,06;7,85;7,88;"23/02/2024 16:25";CET;524946;4145025,64;7,88;23/02/2024
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;650,00;657,50;644,00;652,00;"23/02/2024 16:25";CET;75024;48890312,00;652,00;23/02/2024
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;48,00;48,00;48,00;48,00;"15/02/2024 10:52";CET;1150;55200,00;48,00;23/02/2024
